dist,dx,dy,goal,player,shot,team,x,y
31.19582049,27.3,15.096,FALSE,Kris Commons,TRUE,Celtic,77.7,21.488
12.07459631,-10.71,-5.576,FALSE,Rodrigo,TRUE,Benfica,10.71,37.876
21.25682406,-20.475,5.712,FALSE,Enzo PerÃ©z,TRUE,Benfica,20.475,27.404
36.97348136,-36.33,-6.868,FALSE,Pablo Aimar,TRUE,Benfica,36.33,41.276
22.94123852,-17.955,-14.28,FALSE,Kris Commons,TRUE,Celtic,17.955,45.22
7.933594456,4.305,6.664,FALSE,Ezequiel Garay,TRUE,Benfica,100.695,24.276
11.37708262,-7.245,-8.772,FALSE,Thomas Rogne,TRUE,Celtic,7.245,38.488
32.86215515,-20.475,25.704,FALSE,Kris Commons,TRUE,Celtic,20.475,12.92
21.17239771,17.955,-11.22,FALSE,Eduardo Salvio,TRUE,Benfica,87.045,48.62
35.97586797,35.91,-2.176,FALSE,Bruno CÃ©sar,TRUE,Benfica,69.09,34.408
48.38414436,-47.145,-10.88,FALSE,Kris Commons,TRUE,Celtic,47.145,44.948
12.07576586,12.075,-0.136,FALSE,Ã“scar Cardozo,TRUE,Benfica,92.925,36.72
10.24509488,8.505,5.712,FALSE,Nani,TRUE,Man. United,96.495,25.568
9.251128364,8.4,-3.876,TRUE,Michael Carrick,TRUE,Man. United,96.6,35.496
27.12795682,19.845,-18.496,FALSE,Nani,TRUE,Man. United,85.155,45.56
15.62297158,-13.965,7.004,FALSE,Felipe Melo,TRUE,Galatasaray,13.965,26.792
22.36665395,-22.365,-0.272,FALSE,Hamit AltÄ±ntop,TRUE,Galatasaray,22.365,34.612
12.92645199,12.915,0.544,FALSE,Nani,TRUE,Man. United,92.085,37.536
18.12786808,-7.455,16.524,FALSE,Emmanuel EbouÃ©,TRUE,Galatasaray,7.455,21.624
25.66844631,-21.42,14.144,FALSE,Nordin Amrabat,TRUE,Galatasaray,21.42,17.816
22.60434684,-21,-8.364,FALSE,Hamit AltÄ±ntop,TRUE,Galatasaray,21,36.176
13.33459396,-11.55,-6.664,FALSE,Shinji Kagawa,TRUE,Man. United,11.55,34.884
28.63564213,25.2,-13.6,FALSE,Hamit AltÄ±ntop,TRUE,Galatasaray,79.8,43.52
11.15744075,-10.71,3.128,FALSE,Nani,TRUE,Man. United,10.71,29.852
7.863480718,-2.205,7.548,FALSE,Nani,TRUE,Man. United,2.205,23.528
