player_id,outcome,min,sec,x,y,to_x,to_y,field_pass,type,team
69140,0,8,18,77.8,9.1,90.3,36.1,t,1,Germany
50117,1,8,20,10.7,67.2,,,f,12,Argentina
104512,1,8,22,25,86.8,,,f,7,Argentina
69140,0,8,22,75,13.2,,,f,3,Germany
104512,1,8,23,27.4,96.2,,,f,49,Argentina
104512,1,8,24,27.6,96.8,68.3,79.9,t,1,Argentina
20388,0,8,29,0,0,,,f,59,Germany
149828,1,8,30,89.9,85.5,100,48.8,f,15,Argentina
20388,1,8,30,8,16.5,,,f,10,Germany
149828,1,8,32,91.5,84.7,,,f,6,Argentina
20388,0,8,32,8.5,15.3,,,f,6,Germany
82752,0,9,1,99.5,99.5,92.2,51.2,f,1,Argentina
17127,1,9,4,7.5,47.3,,,f,12,Germany
44336,1,9,5,75.7,25.3,63.7,34,t,1,Argentina
86813,1,9,9,63.7,34,82.3,95.7,f,2,Argentina
15207,1,9,9,15.1,6.4,,,f,55,Germany
15207,1,9,17,0,0,29.9,21.3,f,43,Germany
17127,1,9,46,27,21,37.6,36,f,1,Germany
15207,1,9,48,37.6,36,,,f,100,Germany
15207,1,9,48,37.6,36,44.7,37.6,f,101,Germany
15207,1,9,49,44.7,37.6,51.9,22.2,t,1,Germany
37605,0,9,54,59,26.1,65.8,75.3,t,1,Germany
44336,1,9,56,34.7,27.6,,,f,49,Argentina
44336,1,9,56,34.7,27.6,71.1,41.8,t,1,Argentina
149828,0,10,2,72.3,47.8,,,f,3,Argentina
17127,1,10,2,27.7,52.2,,,f,7,Germany
15207,1,10,4,26.8,56.9,,,f,49,Germany
15207,1,10,4,26.8,56.9,27,74.4,t,1,Germany
41316,1,10,5,27,74.4,,,t,100,Germany
41316,1,10,6,27,74.4,8.2,64.9,t,1,Germany
20388,0,10,8,8.2,64.9,60.6,46.4,t,1,Germany
50117,1,10,11,40.7,55.1,,,f,49,Argentina
50117,1,10,12,40.5,54.8,36.6,91.8,t,1,Argentina
88746,1,10,14,36.6,91.8,36.6,93.5,t,101,Argentina
88746,1,10,14,36.6,91.8,,,t,100,Argentina
88746,1,10,15,36.6,93.5,66.2,95.9,t,1,Argentina
104512,0,10,21,70.2,88.9,100,71.4,t,1,Argentina
17127,1,10,25,0,0,,,f,56,Germany
104512,0,10,26,100.9,71.4,,,f,5,Argentina
17127,1,10,26,-0.9,27.4,,,f,5,Germany
17127,1,10,29,0,0,,,f,43,Germany
20388,1,11,2,5.4,45.4,26.2,60.9,f,1,Germany
40691,1,11,7,26.2,60.9,42.1,70.3,f,101,Germany
40691,1,11,7,26.2,60.9,,,f,100,Germany
40691,1,11,8,42.1,70.3,53.4,43.7,t,1,Germany
15207,1,11,11,53.4,43.7,52.6,41.6,t,101,Germany
15207,1,11,11,53.4,43.7,,,t,100,Germany
15207,1,11,12,52.6,41.6,45.8,22.8,t,1,Germany
